category,rank,dataset_index,image_path,output_path,image_miou,pixel_error_rate,boundary_error_rate,dynamic_to_background_error_rate
dynamic_to_background,1,103,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000047_rgb_anon.png,outputs/analysis/night/examples/dynamic_to_background/01_idx00103_miou0.2870_berr0.5650_dbg1.0000_GOPR0351_frame_000047_rgb_anon.png,0.2869892249700783,0.1977038397126773,0.5650463729711825,1.0
dynamic_to_background,2,102,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000043_rgb_anon.png,outputs/analysis/night/examples/dynamic_to_background/02_idx00102_miou0.2450_berr0.5727_dbg0.9764_GOPR0351_frame_000043_rgb_anon.png,0.24496347424218853,0.20571632032109793,0.5726698262243286,0.9763513513513513
dynamic_to_background,3,201,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000476_rgb_anon.png,outputs/analysis/night/examples/dynamic_to_background/03_idx00201_miou0.3511_berr0.5871_dbg0.9218_GOPR0356_frame_000476_rgb_anon.png,0.35109428640737644,0.19608042659784752,0.5870749055345632,0.9218266253869969
dynamic_to_background,4,195,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000458_rgb_anon.png,outputs/analysis/night/examples/dynamic_to_background/04_idx00195_miou0.2605_berr0.5082_dbg0.8993_GOPR0356_frame_000458_rgb_anon.png,0.260520806698495,0.1518496963006074,0.5081636635659923,0.8992635744119587
dynamic_to_background,5,114,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000071_rgb_anon.png,outputs/analysis/night/examples/dynamic_to_background/05_idx00114_miou0.2369_berr0.6092_dbg0.8900_GOPR0351_frame_000071_rgb_anon.png,0.23685514363891513,0.20907765036198536,0.6091824587368488,0.8900429799426934
best_cases,1,123,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000095_rgb_anon.png,outputs/analysis/night/examples/best_cases/01_idx00123_miou0.4410_berr0.4731_dbg0.0967_GOPR0351_frame_000095_rgb_anon.png,0.4409885128745665,0.09036647964665155,0.47312716399118665,0.09673832468495182
best_cases,2,144,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000742_rgb_anon.png,outputs/analysis/night/examples/best_cases/02_idx00144_miou0.4072_berr0.3787_dbg0.4105_GOPR0351_frame_000742_rgb_anon.png,0.407150649152474,0.15449825852664784,0.3786787924718959,0.41048667439165704
best_cases,3,151,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000809_rgb_anon.png,outputs/analysis/night/examples/best_cases/03_idx00151_miou0.4057_berr0.4604_dbg0.0460_GOPR0351_frame_000809_rgb_anon.png,0.40567925392171145,0.12789136875291313,0.4604049953314659,0.04597622156552814
best_cases,4,112,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0351/GOPR0351_frame_000067_rgb_anon.png,outputs/analysis/night/examples/best_cases/04_idx00112_miou0.4052_berr0.4637_dbg0.8326_GOPR0351_frame_000067_rgb_anon.png,0.40517344965414254,0.14236100520741196,0.4636650868878357,0.8325942350332595
best_cases,5,174,/home/user/DATA/awseg/data/raw/rgb_anon/night/val/GOPR0356/GOPR0356_frame_000375_rgb_anon.png,outputs/analysis/night/examples/best_cases/05_idx00174_miou0.3971_berr0.3963_dbg0.1137_GOPR0356_frame_000375_rgb_anon.png,0.3970641568682476,0.0854998497696468,0.3962945139557267,0.11365494685200327
